ID,GAME,RATING,TIME,MIN PLAYERS,MAX PLAYERS,REC PLAYERS,MECHANICS,DEMO,WANTS TO PLAY,OWNS,PLAYED,BGG LINK
16747,Tumblin-Dice,7.17174,45,2,4,4,Dice Rolling,,,,,https://boardgamegeek.com/boardgame/16747
114784,Rhein: River Trade,6.36667,120,2,5,4,"Auction/Bidding, Card Drafting, Pick-up and Deliver",,,,,https://boardgamegeek.com/boardgame/114784
168609,"Artifacts, Inc.",6.89476,60,2,4,2,"Action Point Allowance System, Area Control / Area Influence, Card Drafting, Dice Rolling, Set Collection",,,,,https://boardgamegeek.com/boardgame/168609
159969,Microvores,6.93333,45,2,4,,"Action Point Allowance System, Dice Rolling, Grid Movement, Simulation, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/159969
145203,Prosperity,6.7722,60,2,4,2,"Card Drafting, Tile Placement",,,,,https://boardgamegeek.com/boardgame/145203
104955,Antike Duellum,7.17368,75,2,2,2,"Area Control / Area Influence, Area Movement, Hand Management",,,,,https://boardgamegeek.com/boardgame/104955
22460,Longhorn,6,80,2,4,,"Area Movement, Card Drafting, Dice Rolling, Pick-up and Deliver",,,,,https://boardgamegeek.com/boardgame/22460
11542,Eclipse,6.23785,15,2,2,2,,,,,,https://boardgamegeek.com/boardgame/11542
139976,Cthulhu Wars,8.0185,120,2,4,4,"Action Point Allowance System, Area Movement, Dice Rolling, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/139976
142296,Funemployed,6.9981,30,3,20,5,"Acting, Card Drafting, Role Playing, Storytelling",,,,,https://boardgamegeek.com/boardgame/142296
180899,Ponzi Scheme,7.26841,90,3,5,4,"Set Collection, Trading",,,,,https://boardgamegeek.com/boardgame/180899
33087,Renaissance Man,3,40,2,4,,"Dice Rolling, Set Collection",,,,,https://boardgamegeek.com/boardgame/33087
22667,Tower,5.5,15,2,6,,Betting/Wagering,,,,,https://boardgamegeek.com/boardgame/22667
131449,Captains of Industry,7.15961,150,3,5,5,"Area Control / Area Influence, Auction/Bidding, Commodity Speculation",,,,,https://boardgamegeek.com/boardgame/131449
198994,Hero Realms,7.71453,30,2,4,2,"Card Drafting, Deck / Pool Building, Hand Management",,,,,https://boardgamegeek.com/boardgame/198994
152174,Pressure Cooker,6.32167,45,2,4,3,"Pattern Recognition, Pick-up and Deliver, Set Collection",,,,,https://boardgamegeek.com/boardgame/152174
163929,Coconuts Duo,7.07892,20,2,2,2,,,,,,https://boardgamegeek.com/boardgame/163929
154892,Loonacy,6.36064,10,2,5,4,Pattern Recognition,,,,,https://boardgamegeek.com/boardgame/154892
225482,Texas Showdown,6.88721,45,3,6,5,Trick-taking,,,,,https://boardgamegeek.com/boardgame/225482
181345,Dr. Eureka,6.73319,15,1,4,4,Pattern Building,,,,,https://boardgamegeek.com/boardgame/181345
198456,Motion Pictures: Movies Out of Cardboard,6.71021,45,2,4,,"Deck / Pool Building, Hand Management, Set Collection",,,,,https://boardgamegeek.com/boardgame/198456
21763,Mr. Jack,7.06838,30,2,2,2,"Grid Movement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/21763
172220,Dungeons & Dragons: Temple of Elemental Evil Board Game,7.46713,60,1,5,3,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Role Playing, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/172220
150930,Mad City,6.23455,30,1,6,4,Tile Placement,,,,,https://boardgamegeek.com/boardgame/150930
129126,Temporum,6.53333,75,2,4,,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/129126
172225,Exploding Kittens,5.88894,15,2,5,4,"Hand Management, Player Elimination, Press Your Luck, Set Collection, Take That",,,,,https://boardgamegeek.com/boardgame/172225
65244,Forbidden Island,6.83458,30,2,4,4,"Action Point Allowance System, Co-operative Play, Grid Movement, Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/65244
176606,"Rattle, Battle, Grab the Loot",6.41552,60,2,5,4,Dice Rolling,,,,,https://boardgamegeek.com/boardgame/176606
193949,Star Trek: Ascendancy,7.80294,180,3,3,3,"Action Point Allowance System, Dice Rolling, Modular Board, Trading, Variable Phase Order, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/193949
203828,13 Minutes: The Cuban Missile Crisis,6.67492,13,2,2,2,"Area Control / Area Influence, Campaign / Battle Card Driven, Hand Management",,,,,https://boardgamegeek.com/boardgame/203828
165477,Orcs Orcs Orcs,6.48879,45,2,4,3,Deck / Pool Building,,,,,https://boardgamegeek.com/boardgame/165477
151251,Castle Crush!,6.65821,15,1,4,4,Pattern Building,,,,,https://boardgamegeek.com/boardgame/151251
814,Aquarius,5.98731,20,2,5,4,"Pattern Building, Tile Placement",,,,,https://boardgamegeek.com/boardgame/814
815,Chrononauts,6.21986,30,1,6,4,"Hand Management, Modular Board, Press Your Luck",,,,,https://boardgamegeek.com/boardgame/815
176334,Guns & Steel,6.51268,70,2,4,3,"Deck / Pool Building, Hand Management, Take That",,,,,https://boardgamegeek.com/boardgame/176334
143405,Sylvion,7.24453,30,1,2,1,"Card Drafting, Co-operative Play, Grid Movement, Hand Management",,,,,https://boardgamegeek.com/boardgame/143405
164338,The Golden Ages,7.36466,90,2,4,4,"Action Point Allowance System, Area Control / Area Influence, Card Drafting, Modular Board, Tile Placement",,,,,https://boardgamegeek.com/boardgame/164338
179266,Flip the Bird,4.84783,40,2,4,,"Take That, Trick-taking",,,,,https://boardgamegeek.com/boardgame/179266
181245,OMG,5.60072,20,2,6,3,Hand Management,,,,,https://boardgamegeek.com/boardgame/181245
181246,Crazy Bullets,5.27941,15,2,4,4,Pattern Recognition,,,,,https://boardgamegeek.com/boardgame/181246
107861,Warriors & Traders,6.28779,120,2,6,6,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Partnerships, Trading",,,,,https://boardgamegeek.com/boardgame/107861
179303,Cthulhu Realms,6.83002,45,2,4,2,"Deck / Pool Building, Player Elimination",,,,,https://boardgamegeek.com/boardgame/179303
713,Nuclear War,6.20689,60,2,6,6,"Action / Movement Programming, Take That",,,,,https://boardgamegeek.com/boardgame/713
172837,Dead Man's Chest,5.84148,30,3,8,4,"Betting/Wagering, Dice Rolling, Player Elimination, Press Your Luck",,,,,https://boardgamegeek.com/boardgame/172837
150146,Rattlebones,6.56678,30,2,4,4,"Deck / Pool Building, Dice Rolling, Modular Board, Roll / Spin and Move",,,,,https://boardgamegeek.com/boardgame/150146
1491,Outpost,6.84361,150,2,9,5,Auction/Bidding,,,,,https://boardgamegeek.com/boardgame/1491
174660,New York 1901,6.93168,60,2,4,4,"Area Control / Area Influence, Card Drafting, Tile Placement",,,,,https://boardgamegeek.com/boardgame/174660
142197,The Phantom Society,5.92214,20,2,4,4,"Grid Movement, Partnerships, Secret Unit Deployment",,,,,https://boardgamegeek.com/boardgame/142197
204837,Game of Thrones: The Iron Throne,6.94652,60,3,5,5,,,,,,https://boardgamegeek.com/boardgame/204837
94571,Oh Gnome You Don't!,5.75545,90,2,5,4,Roll / Spin and Move,,,,,https://boardgamegeek.com/boardgame/94571
107529,Kingdom Builder,7.00482,45,2,4,4,"Area Control / Area Influence, Area Enclosure, Modular Board, Route/Network Building",,,,,https://boardgamegeek.com/boardgame/107529
25695,Chopstick Dexterity MegaChallenge 3000,6.23888,15,1,3,2,,,,,,https://boardgamegeek.com/boardgame/25695
79131,Star Trek: Expeditions,6.50879,60,1,4,4,"Co-operative Play, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/79131
171233,The Big Book of Madness,7.08683,90,2,5,3,"Co-operative Play, Deck / Pool Building, Hand Management, Player Elimination, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/171233
141423,Dead Men Tell No Tales,7.18833,75,2,5,3,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/141423
82222,Xia: Legends of a Drift System,7.82365,180,3,5,3,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Roll / Spin and Move, Tile Placement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/82222
143741,BANG! The Dice Game,7.01578,15,3,8,6,"Dice Rolling, Partnerships, Player Elimination, Press Your Luck, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/143741
161970,Alchemists,7.72657,120,2,4,4,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement",,,,,https://boardgamegeek.com/boardgame/161970
181304,Mysterium,7.45267,42,2,7,5,"Co-operative Play, Hand Management, Pattern Recognition",,,,,https://boardgamegeek.com/boardgame/181304
19301,Mesopotamia,6.54631,45,2,4,4,"Action Point Allowance System, Modular Board, Pick-up and Deliver, Point to Point Movement",,,,,https://boardgamegeek.com/boardgame/19301
